# Energy Exp_Background
17.0 117.63157445968358
19.0 124.3421037028701
21.0 132.63158631787064
23.0 142.8947380606157
25.0 154.34211236122894
27.0 166.5789482897338
29.0 180.0000067761069
31.0 193.8157960764258
33.0 207.6315853767447
35.0 220.6578979911566
37.0 234.07893389050665
39.0 245.92103900506572
41.0 256.9736824917331
43.0 266.84210342053234
45.0 273.15789808526915
47.0 272.7631559778119
49.0 254.60526749202742
