# rad[kpc] photon_mass[/18MeV]
0.0 0.9496240601503758
0.7335907335907336 0.9428571428571427
1.4671814671814671 0.938345864661654
2.1621621621621623 0.9338345864661652
2.9343629343629343 0.9293233082706766
3.629343629343629 0.9225563909774435
4.420849420849421 0.9180451127819548
4.633204633204633 0.9157894736842104
5.077220077220077 0.906766917293233
5.8494208494208495 0.888721804511278
6.467181467181467 0.8616541353383458
7.162162162162162 0.8233082706766917
7.5675675675675675 0.7984962406015037
7.77992277992278 0.7781954887218044
8.378378378378379 0.7308270676691728
8.629343629343628 0.7105263157894736
9.015444015444015 0.6857142857142856
9.71042471042471 0.6473684210526315
10.328185328185327 0.6157894736842104
11.023166023166024 0.5842105263157894
11.67953667953668 0.557142857142857
12.413127413127413 0.5300751879699247
13.088803088803088 0.5030075187969925
13.783783783783784 0.47819548872180445
14.45945945945946 0.44887218045112776
15.154440154440154 0.42180451127819546
15.81081081081081 0.39248120300751876
16.525096525096526 0.3609022556390977
17.123552123552123 0.32481203007518794
17.876447876447877 0.2842105263157894
18.474903474903474 0.24812030075187966
19.131274131274132 0.20751879699248119
19.787644787644787 0.17368421052631577
20.482625482625483 0.1421052631578947
21.11969111969112 0.1150375939849624
21.833976833976834 0.09022556390977443
22.586872586872587 0.07218045112781954
23.33976833976834 0.05639097744360901
24.0 0.04962406015037593
