# rad[kpc] n_proton_effective[/2x10^{37}cm^{-3}]
0.0 1.1954887218045112
0.7915057915057915 1.1977443609022556
1.4671814671814671 1.1999999999999997
2.335907335907336 1.2022556390977441
3.5135135135135136 1.2045112781954885
4.671814671814672 1.2112781954887217
5.386100386100386 1.2473684210526315
6.11969111969112 1.2812030075187968
6.698841698841699 1.3060150375939847
6.911196911196911 1.3082706766917291
7.297297297297297 1.3015037593984962
7.5096525096525095 1.2924812030075186
7.702702702702703 1.2609022556390976
7.895752895752896 1.224812030075188
8.127413127413128 1.1842105263157894
8.281853281853282 1.139097744360902
8.436293436293436 1.0894736842105261
8.725868725868725 0.9992481203007517
9.015444015444015 0.9248120300751879
9.324324324324325 0.8368421052631578
9.594594594594595 0.7714285714285714
9.961389961389962 0.6992481203007518
10.308880308880308 0.6338345864661653
10.733590733590733 0.5684210526315788
11.119691119691119 0.5187969924812029
11.621621621621621 0.4601503759398496
12.065637065637066 0.41278195488721797
12.77992277992278 0.3496240601503759
13.397683397683398 0.30225563909774433
14.054054054054054 0.2526315789473684
14.768339768339768 0.20300751879699244
15.482625482625481 0.1601503759398496
16.06177606177606 0.1263157894736842
16.73745173745174 0.09248120300751879
17.509652509652508 0.05639097744360901
18.26254826254826 0.03157894736842105
18.84169884169884 0.018045112781954885
19.343629343629342 0.009022556390977442
19.98069498069498 0.006766917293233082
20.907335907335906 0.0022556390977443606
22.084942084942085 0.0022556390977443606
23.28185328185328 0.0022556390977443606
24.0 0.0
