# rad[kpc] electron_chemical_potential[/200MeV]
0.0 1.2293233082706765
0.3861003861003861 1.224812030075188
0.7528957528957528 1.220300751879699
1.0810810810810811 1.2157894736842103
1.5057915057915057 1.213533834586466
1.8339768339768339 1.2090225563909773
2.22007722007722 1.206766917293233
2.548262548262548 1.2022556390977441
2.915057915057915 1.1999999999999997
3.243243243243243 1.1954887218045112
3.687258687258687 1.1932330827067668
3.976833976833977 1.188721804511278
4.382239382239383 1.1842105263157894
4.594594594594595 1.181954887218045
4.749034749034749 1.1774436090225562
5.096525096525096 1.1661654135338344
5.444015444015444 1.1548872180451126
5.772200772200772 1.1436090225563909
5.888030888030888 1.1413533834586465
6.100386100386101 1.1255639097744359
6.409266409266409 1.1030075187969923
6.737451737451737 1.0804511278195488
7.046332046332046 1.051127819548872
7.297297297297297 1.0218045112781953
7.528957528957529 0.9969924812030074
7.741312741312741 0.9654135338345864
8.011583011583012 0.931578947368421
8.243243243243244 0.8954887218045111
8.474903474903474 0.8639097744360901
8.745173745173744 0.8278195488721803
8.996138996138995 0.7984962406015037
9.285714285714285 0.7736842105263156
9.555984555984557 0.744360902255639
9.806949806949806 0.7240601503759397
10.173745173745173 0.6969924812030074
10.424710424710424 0.6789473684210525
10.772200772200772 0.656390977443609
11.1003861003861 0.6383458646616541
11.467181467181467 0.6225563909774435
11.795366795366796 0.6045112781954887
12.123552123552123 0.5932330827067669
12.50965250965251 0.5774436090225563
12.837837837837837 0.5661654135338345
13.204633204633204 0.5526315789473684
13.513513513513514 0.5413533834586466
13.899613899613898 0.5300751879699247
14.227799227799228 0.5187969924812029
14.575289575289576 0.5030075187969925
14.961389961389962 0.4917293233082706
15.250965250965251 0.4804511278195488
15.637065637065637 0.46240601503759393
15.965250965250965 0.4466165413533834
16.312741312741313 0.4353383458646616
16.64092664092664 0.41278195488721797
16.988416988416986 0.39924812030075185
17.316602316602317 0.3789473684210526
17.625482625482626 0.356390977443609
17.895752895752896 0.34060150375939846
18.223938223938223 0.31804511278195485
18.57142857142857 0.2909774436090225
18.84169884169884 0.2706766917293233
19.16988416988417 0.25037593984962403
19.536679536679536 0.22781954887218042
19.845559845559844 0.20751879699248119
20.154440154440152 0.1894736842105263
20.405405405405403 0.17368421052631577
20.81081081081081 0.15112781954887217
21.1003861003861 0.137593984962406
21.486486486486488 0.12406015037593983
21.853281853281853 0.10601503759398495
22.16216216216216 0.09248120300751879
22.54826254826255 0.0857142857142857
22.915057915057915 0.0744360902255639
23.3011583011583 0.0631578947368421
24.0 0.051879699248120296
