# g ma[MeV] Ea[MeV] dNdEdtKSVZ[adimensional]
5.01697e-6 5.75e0 4.30375e1 5.5313e33
5.01697e-6 5.75e0 4.40375e1 5.01394e33
5.01697e-6 5.75e0 4.50375e1 4.5404e33
5.01697e-6 5.75e0 4.60375e1 4.10037e33
5.01697e-6 5.75e0 4.70375e1 3.70931e33
5.01697e-6 5.75e0 4.80375e1 3.3531e33
5.01697e-6 5.75e0 4.90375e1 3.02869e33
5.01697e-6 5.75e0 5.00375e1 2.73323e33
5.01697e-6 5.75e0 5.10375e1 2.46089e33
5.01697e-6 5.75e0 5.20375e1 2.21961e33
5.01697e-6 5.75e0 5.30375e1 2.00083e33
5.01697e-6 5.75e0 5.40375e1 1.80262e33
5.01697e-6 5.75e0 5.50375e1 1.62272e33
5.01697e-6 5.75e0 5.60375e1 1.45837e33
5.01697e-6 5.75e0 5.70375e1 1.31244e33
5.01697e-6 5.75e0 5.80375e1 1.18065e33
5.01697e-6 5.75e0 5.90375e1 1.06162e33
5.01697e-6 5.75e0 6.00375e1 9.53754e32
5.01697e-6 5.75e0 6.10375e1 8.55558e32
5.01697e-6 5.75e0 6.20375e1 7.68908e32
5.01697e-6 5.75e0 6.30375e1 6.90965e32
5.01697e-6 5.75e0 6.40375e1 6.20616e32
5.01697e-6 5.75e0 6.50375e1 5.5697e32
5.01697e-6 5.75e0 6.60375e1 4.99321e32
5.01697e-6 5.75e0 6.70375e1 4.48368e32
5.01697e-6 5.75e0 6.80375e1 4.02481e32
5.01697e-6 5.75e0 6.90375e1 3.61265e32
5.01697e-6 5.75e0 7.00375e1 3.23967e32
5.01697e-6 5.75e0 7.10375e1 2.90257e32
5.01697e-6 5.75e0 7.20375e1 2.60574e32
5.01697e-6 5.75e0 7.30375e1 2.33917e32
5.01697e-6 5.75e0 7.40375e1 2.09957e32
5.01697e-6 5.75e0 7.50375e1 1.88331e32
5.01697e-6 5.75e0 7.60375e1 1.68857e32
5.01697e-6 5.75e0 7.70375e1 1.51586e32
5.01697e-6 5.75e0 7.80375e1 1.36082e32
5.01697e-6 5.75e0 7.90375e1 1.22154e32
5.01697e-6 5.75e0 8.00375e1 1.09589e32
5.01697e-6 5.75e0 8.10375e1 9.8292e31
5.01697e-6 5.75e0 8.20375e1 8.83149e31
5.01697e-6 5.75e0 8.30375e1 7.93127e31
5.01697e-6 5.75e0 8.40375e1 7.11819e31
5.01697e-6 5.75e0 8.50375e1 6.38584e31
5.01697e-6 5.75e0 8.60375e1 5.72773e31
5.01697e-6 5.75e0 8.70375e1 5.14768e31
5.01697e-6 5.75e0 8.80375e1 4.60784e31
5.01697e-6 5.75e0 8.90375e1 4.15967e31
5.01697e-6 5.75e0 9.00375e1 3.73702e31
5.01697e-6 5.75e0 9.10375e1 3.35735e31
5.01697e-6 5.75e0 9.20375e1 3.02066e31
5.01697e-6 5.75e0 9.30375e1 2.71843e31
5.01697e-6 5.75e0 9.40375e1 2.44643e31
5.01697e-6 5.75e0 9.50375e1 2.20056e31
5.01697e-6 5.75e0 9.60375e1 1.97941e31
5.01697e-6 5.75e0 9.70375e1 1.78323e31
5.01697e-6 5.75e0 9.80375e1 1.60694e31
5.01697e-6 5.75e0 9.90375e1 1.45149e31
5.01697e-6 5.75e0 1.00038e2 1.31861e31
5.01697e-6 5.75e0 1.01038e2 1.1981e31
5.01697e-6 5.75e0 1.02038e2 1.07458e31
5.01697e-6 5.75e0 1.03038e2 9.62508e30
5.01697e-6 5.75e0 1.04038e2 8.5905e30
5.01697e-6 5.75e0 1.05038e2 7.62614e30
5.01697e-6 5.75e0 1.06038e2 6.77033e30
5.01697e-6 5.75e0 1.07038e2 6.1023e30
5.01697e-6 5.75e0 1.08038e2 5.51035e30
5.01697e-6 5.75e0 1.09038e2 4.97587e30
5.01697e-6 5.75e0 1.10038e2 4.49256e30
5.01697e-6 5.75e0 1.11038e2 4.05701e30
5.01697e-6 5.75e0 1.12038e2 3.66832e30
5.01697e-6 5.75e0 1.13038e2 3.31814e30
5.01697e-6 5.75e0 1.14038e2 2.98308e30
5.01697e-6 5.75e0 1.15038e2 2.67305e30
5.01697e-6 5.75e0 1.16038e2 2.39531e30
5.01697e-6 5.75e0 1.17038e2 2.18474e30
5.01697e-6 5.75e0 1.18038e2 1.99946e30
5.01697e-6 5.75e0 1.19038e2 1.84603e30
5.01697e-6 5.75e0 1.20038e2 1.71027e30
5.01697e-6 5.75e0 1.21038e2 1.58675e30
5.01697e-6 5.75e0 1.22038e2 1.44668e30
5.01697e-6 5.75e0 1.23038e2 1.31556e30
5.01697e-6 5.75e0 1.24038e2 1.1964e30
5.01697e-6 5.75e0 1.25038e2 1.08831e30
5.01697e-6 5.75e0 1.26038e2 9.90345e29
5.01697e-6 5.75e0 1.27038e2 9.02032e29
5.01697e-6 5.75e0 1.28038e2 8.21891e29
5.01697e-6 5.75e0 1.29038e2 7.48973e29
5.01697e-6 5.75e0 1.30038e2 6.82639e29
5.01697e-6 5.75e0 1.31038e2 6.2239e29
5.01697e-6 5.75e0 1.32038e2 7.34942e29
5.01697e-6 5.75e0 1.33038e2 1.13452e30
5.01697e-6 5.75e0 1.34038e2 1.30647e30
5.01697e-6 5.75e0 1.35038e2 1.35777e30
5.01697e-6 5.75e0 1.36038e2 1.44868e29
5.01697e-6 5.75e0 1.37038e2 7.05889e28
5.01697e-6 5.75e0 1.38038e2 4.55627e28
5.01697e-6 5.75e0 1.39038e2 3.27064e28
5.01697e-6 5.75e0 1.40038e2 2.48166e28
5.01697e-6 5.75e0 1.41038e2 1.94629e28
5.01697e-6 5.75e0 1.42038e2 1.55962e28
5.01697e-6 5.75e0 1.43038e2 1.26912e28
5.01697e-6 5.75e0 1.44038e2 1.043e28
5.01697e-6 5.75e0 1.45038e2 8.64643e27
5.01697e-6 5.75e0 1.46038e2 7.21291e27
5.01697e-6 5.75e0 1.47038e2 6.04732e27
5.01697e-6 5.75e0 1.48038e2 5.09046e27
5.01697e-6 5.75e0 1.49038e2 4.29935e27
5.01697e-6 5.75e0 1.50038e2 3.64088e27
5.01697e-6 5.75e0 1.51038e2 3.09032e27
5.01697e-6 5.75e0 1.52038e2 2.62817e27
5.01697e-6 5.75e0 1.53038e2 2.24565e27
5.01697e-6 5.75e0 1.54038e2 1.90985e27
5.01697e-6 5.75e0 1.55038e2 1.63118e27
5.01697e-6 5.75e0 1.56038e2 1.39473e27
5.01697e-6 5.75e0 1.57038e2 1.19373e27
5.01697e-6 5.75e0 1.58038e2 1.02252e27
5.01697e-6 5.75e0 1.59038e2 8.76507e26
5.01697e-6 5.75e0 1.60038e2 7.51813e26
5.01697e-6 5.75e0 1.61038e2 6.45233e26
5.01697e-6 5.75e0 1.62038e2 5.54084e26
5.01697e-6 5.75e0 1.63038e2 4.76014e26
5.01697e-6 5.75e0 1.64038e2 4.09108e26
5.01697e-6 5.75e0 1.65038e2 3.5174e26
5.01697e-6 5.75e0 1.66038e2 3.0252e26
5.01697e-6 5.75e0 1.67038e2 2.6024e26
5.01697e-6 5.75e0 1.68038e2 2.23958e26
5.01697e-6 5.75e0 1.69038e2 1.92776e26
5.01697e-6 5.75e0 1.70038e2 1.65972e26
5.01697e-6 5.75e0 1.71038e2 1.42926e26
5.01697e-6 5.75e0 1.72038e2 1.23111e26
5.01697e-6 5.75e0 1.73038e2 1.06051e26
5.01697e-6 5.75e0 1.74038e2 9.13717e25
5.01697e-6 5.75e0 1.75038e2 7.87347e25
5.01697e-6 5.75e0 1.76038e2 6.78541e25
5.01697e-6 5.75e0 1.77038e2 5.94881e25
5.01697e-6 5.75e0 1.78038e2 5.04221e25
5.01697e-6 5.75e0 1.79038e2 4.34675e25
5.01697e-6 5.75e0 1.80038e2 3.74646e25
5.01697e-6 5.75e0 1.81038e2 3.23104e25
5.01697e-6 5.75e0 1.82038e2 2.78609e25
5.01697e-6 5.75e0 1.83038e2 2.40256e25
5.01697e-6 5.75e0 1.84038e2 2.07195e25
5.01697e-6 5.75e0 1.85038e2 1.78693e25
5.01697e-6 5.75e0 1.86038e2 1.54101e25
5.01697e-6 5.75e0 1.87038e2 1.32914e25
5.01697e-6 5.75e0 1.88038e2 1.14645e25
5.01697e-6 5.75e0 1.89038e2 9.88896e24
5.01697e-6 5.75e0 1.90038e2 8.53014e24
5.01697e-6 5.75e0 1.91038e2 7.35572e24
5.01697e-6 5.75e0 1.92038e2 6.3453e24
5.01697e-6 5.75e0 1.93038e2 5.47601e24
5.01697e-6 5.75e0 1.94038e2 4.72412e24
5.01697e-6 5.75e0 1.95038e2 4.07572e24
5.01697e-6 5.75e0 1.96038e2 3.51611e24
5.01697e-6 5.75e0 1.97038e2 3.03346e24
5.01697e-6 5.75e0 1.98038e2 2.61709e24
5.01697e-6 5.75e0 1.99038e2 2.25798e24
5.01697e-6 1.05e1 1.1025e1 9.63415e33
5.01697e-6 1.05e1 1.2025e1 1.60551e34
5.01697e-6 1.05e1 1.3025e1 2.0967e34
5.01697e-6 1.05e1 1.4025e1 2.45195e34
5.01697e-6 1.05e1 1.5025e1 2.69514e34
5.01697e-6 1.05e1 1.6025e1 2.87033e34
5.01697e-6 1.05e1 1.7025e1 2.94554e34
5.01697e-6 1.05e1 1.8025e1 2.96348e34
5.01697e-6 1.05e1 1.9025e1 2.94017e34
5.01697e-6 1.05e1 2.0025e1 2.88065e34
5.01697e-6 1.05e1 2.1025e1 2.78763e34
5.01697e-6 1.05e1 2.2025e1 2.68741e34
5.01697e-6 1.05e1 2.3025e1 2.57315e34
5.01697e-6 1.05e1 2.4025e1 2.44925e34
5.01697e-6 1.05e1 2.5025e1 2.31934e34
5.01697e-6 1.05e1 2.6025e1 2.18665e34
5.01697e-6 1.05e1 2.7025e1 2.05279e34
5.01697e-6 1.05e1 2.8025e1 1.92007e34
5.01697e-6 1.05e1 2.9025e1 1.79011e34
5.01697e-6 1.05e1 3.0025e1 1.66388e34
5.01697e-6 1.05e1 3.1025e1 1.55496e34
5.01697e-6 1.05e1 3.2025e1 1.43329e34
5.01697e-6 1.05e1 3.3025e1 1.31786e34
5.01697e-6 1.05e1 3.4025e1 1.20915e34
5.01697e-6 1.05e1 3.5025e1 1.10724e34
5.01697e-6 1.05e1 3.6025e1 9.924e33
5.01697e-6 1.05e1 3.7025e1 9.13185e33
5.01697e-6 1.05e1 3.8025e1 8.36814e33
5.01697e-6 1.05e1 3.9025e1 7.66916e33
5.01697e-6 1.05e1 4.0025e1 7.01947e33
5.01697e-6 1.05e1 4.1025e1 6.46858e33
5.01697e-6 1.05e1 4.2025e1 5.88925e33
5.01697e-6 1.05e1 4.3025e1 5.354e33
5.01697e-6 1.05e1 4.4025e1 4.862e33
5.01697e-6 1.05e1 4.5025e1 4.41034e33
5.01697e-6 1.05e1 4.6025e1 3.9891e33
5.01697e-6 1.05e1 4.7025e1 3.61383e33
5.01697e-6 1.05e1 4.8025e1 3.27103e33
5.01697e-6 1.05e1 4.9025e1 2.95831e33
5.01697e-6 1.05e1 5.0025e1 2.67302e33
5.01697e-6 1.05e1 5.1025e1 2.40933e33
5.01697e-6 1.05e1 5.2025e1 2.17539e33
5.01697e-6 1.05e1 5.3025e1 1.96294e33
5.01697e-6 1.05e1 5.4025e1 1.77011e33
5.01697e-6 1.05e1 5.5025e1 1.59482e33
5.01697e-6 1.05e1 5.6025e1 1.43447e33
5.01697e-6 1.05e1 5.7025e1 1.29198e33
5.01697e-6 1.05e1 5.8025e1 1.16311e33
5.01697e-6 1.05e1 5.9025e1 1.04659e33
5.01697e-6 1.05e1 6.0025e1 9.40897e32
5.01697e-6 1.05e1 6.1025e1 8.44555e32
5.01697e-6 1.05e1 6.2025e1 7.59595e32
5.01697e-6 1.05e1 6.3025e1 6.82883e32
5.01697e-6 1.05e1 6.4025e1 6.13695e32
5.01697e-6 1.05e1 6.5025e1 5.51056e32
5.01697e-6 1.05e1 6.6025e1 4.94262e32
5.01697e-6 1.05e1 6.7025e1 4.44028e32
5.01697e-6 1.05e1 6.8025e1 3.9877e32
5.01697e-6 1.05e1 6.9025e1 3.58095e32
5.01697e-6 1.05e1 7.0025e1 3.2126e32
5.01697e-6 1.05e1 7.1025e1 2.87943e32
5.01697e-6 1.05e1 7.2025e1 2.58591e32
5.01697e-6 1.05e1 7.3025e1 2.32223e32
5.01697e-6 1.05e1 7.4025e1 2.08511e32
5.01697e-6 1.05e1 7.5025e1 1.87098e32
5.01697e-6 1.05e1 7.6025e1 1.67806e32
5.01697e-6 1.05e1 7.7025e1 1.50688e32
5.01697e-6 1.05e1 7.8025e1 1.35316e32
5.01697e-6 1.05e1 7.9025e1 1.21502e32
5.01697e-6 1.05e1 8.0025e1 1.09034e32
5.01697e-6 1.05e1 8.1025e1 9.78206e31
5.01697e-6 1.05e1 8.2025e1 8.79143e31
5.01697e-6 1.05e1 8.3025e1 7.89244e31
5.01697e-6 1.05e1 8.4025e1 7.08922e31
5.01697e-6 1.05e1 8.5025e1 6.36137e31
5.01697e-6 1.05e1 8.6025e1 5.70699e31
5.01697e-6 1.05e1 8.7025e1 5.13002e31
5.01697e-6 1.05e1 8.8025e1 4.59333e31
5.01697e-6 1.05e1 8.9025e1 4.1471e31
5.01697e-6 1.05e1 9.0025e1 3.72647e31
5.01697e-6 1.05e1 9.1025e1 3.34847e31
5.01697e-6 1.05e1 9.2025e1 3.01317e31
5.01697e-6 1.05e1 9.3025e1 2.71215e31
5.01697e-6 1.05e1 9.4025e1 2.4412e31
5.01697e-6 1.05e1 9.5025e1 2.1962e31
5.01697e-6 1.05e1 9.6025e1 1.97576e31
5.01697e-6 1.05e1 9.7025e1 1.78021e31
5.01697e-6 1.05e1 9.8025e1 1.60445e31
5.01697e-6 1.05e1 9.9025e1 1.44932e31
5.01697e-6 1.05e1 1.00025e2 1.31682e31
5.01697e-6 1.05e1 1.01025e2 1.19672e31
5.01697e-6 1.05e1 1.02025e2 1.07361e31
5.01697e-6 1.05e1 1.03025e2 9.61734e30
5.01697e-6 1.05e1 1.04025e2 8.58519e30
5.01697e-6 1.05e1 1.05025e2 7.62201e30
5.01697e-6 1.05e1 1.06025e2 6.76682e30
5.01697e-6 1.05e1 1.07025e2 6.0987e30
5.01697e-6 1.05e1 1.08025e2 5.50767e30
5.01697e-6 1.05e1 1.09025e2 4.97384e30
5.01697e-6 1.05e1 1.10025e2 4.49129e30
5.01697e-6 1.05e1 1.11025e2 4.05624e30
5.01697e-6 1.05e1 1.12025e2 3.6679e30
5.01697e-6 1.05e1 1.13025e2 3.318e30
5.01697e-6 1.05e1 1.14025e2 2.98374e30
5.01697e-6 1.05e1 1.15025e2 2.67369e30
5.01697e-6 1.05e1 1.16025e2 2.39595e30
5.01697e-6 1.05e1 1.17025e2 2.18506e30
5.01697e-6 1.05e1 1.18025e2 1.99992e30
5.01697e-6 1.05e1 1.19025e2 1.84644e30
5.01697e-6 1.05e1 1.20025e2 1.71082e30
5.01697e-6 1.05e1 1.21025e2 1.58746e30
5.01697e-6 1.05e1 1.22025e2 1.44777e30
5.01697e-6 1.05e1 1.23025e2 1.31664e30
5.01697e-6 1.05e1 1.24025e2 1.19746e30
5.01697e-6 1.05e1 1.25025e2 1.0894e30
5.01697e-6 1.05e1 1.26025e2 9.90963e29
5.01697e-6 1.05e1 1.27025e2 9.02976e29
5.01697e-6 1.05e1 1.28025e2 8.22838e29
5.01697e-6 1.05e1 1.29025e2 7.4984e29
5.01697e-6 1.05e1 1.30025e2 6.83463e29
5.01697e-6 1.05e1 1.31025e2 6.2317e29
5.01697e-6 1.05e1 1.32025e2 7.2835e29
5.01697e-6 1.05e1 1.33025e2 1.1316e30
5.01697e-6 1.05e1 1.34025e2 1.30459e30
5.01697e-6 1.05e1 1.35025e2 1.38324e30
5.01697e-6 1.05e1 1.36025e2 1.4675e29
5.01697e-6 1.05e1 1.37025e2 7.09702e28
5.01697e-6 1.05e1 1.38025e2 4.56971e28
5.01697e-6 1.05e1 1.39025e2 3.27621e28
5.01697e-6 1.05e1 1.40025e2 2.48403e28
5.01697e-6 1.05e1 1.41025e2 1.94721e28
5.01697e-6 1.05e1 1.42025e2 1.55984e28
5.01697e-6 1.05e1 1.43025e2 1.26899e28
5.01697e-6 1.05e1 1.44025e2 1.04273e28
5.01697e-6 1.05e1 1.45025e2 8.64305e27
5.01697e-6 1.05e1 1.46025e2 7.20942e27
5.01697e-6 1.05e1 1.47025e2 6.04396e27
5.01697e-6 1.05e1 1.48025e2 5.08736e27
5.01697e-6 1.05e1 1.49025e2 4.29656e27
5.01697e-6 1.05e1 1.50025e2 3.63842e27
5.01697e-6 1.05e1 1.51025e2 3.08817e27
5.01697e-6 1.05e1 1.52025e2 2.62631e27
5.01697e-6 1.05e1 1.53025e2 2.23716e27
5.01697e-6 1.05e1 1.54025e2 1.90842e27
5.01697e-6 1.05e1 1.55025e2 1.63002e27
5.01697e-6 1.05e1 1.56025e2 1.39374e27
5.01697e-6 1.05e1 1.57025e2 1.19289e27
5.01697e-6 1.05e1 1.58025e2 1.02182e27
5.01697e-6 1.05e1 1.59025e2 8.7591e26
5.01697e-6 1.05e1 1.60025e2 7.51311e26
5.01697e-6 1.05e1 1.61025e2 6.44811e26
5.01697e-6 1.05e1 1.62025e2 5.53731e26
5.01697e-6 1.05e1 1.63025e2 4.75718e26
5.01697e-6 1.05e1 1.64025e2 4.08861e26
5.01697e-6 1.05e1 1.65025e2 3.51534e26
5.01697e-6 1.05e1 1.66025e2 3.02348e26
5.01697e-6 1.05e1 1.67025e2 2.60097e26
5.01697e-6 1.05e1 1.68025e2 2.23839e26
5.01697e-6 1.05e1 1.69025e2 1.92678e26
5.01697e-6 1.05e1 1.70025e2 1.6589e26
5.01697e-6 1.05e1 1.71025e2 1.42858e26
5.01697e-6 1.05e1 1.72025e2 1.23055e26
5.01697e-6 1.05e1 1.73025e2 1.06005e26
5.01697e-6 1.05e1 1.74025e2 9.13344e25
5.01697e-6 1.05e1 1.75025e2 7.87042e25
5.01697e-6 1.05e1 1.76025e2 6.78291e25
5.01697e-6 1.05e1 1.77025e2 5.94654e25
5.01697e-6 1.05e1 1.78025e2 5.04057e25
5.01697e-6 1.05e1 1.79025e2 4.34541e25
5.01697e-6 1.05e1 1.80025e2 3.74561e25
5.01697e-6 1.05e1 1.81025e2 3.23017e25
5.01697e-6 1.05e1 1.82025e2 2.7854e25
5.01697e-6 1.05e1 1.83025e2 2.40201e25
5.01697e-6 1.05e1 1.84025e2 2.07152e25
5.01697e-6 1.05e1 1.85025e2 1.78659e25
5.01697e-6 1.05e1 1.86025e2 1.54074e25
5.01697e-6 1.05e1 1.87025e2 1.32894e25
5.01697e-6 1.05e1 1.88025e2 1.1463e25
5.01697e-6 1.05e1 1.89025e2 9.88784e24
5.01697e-6 1.05e1 1.90025e2 8.52933e24
5.01697e-6 1.05e1 1.91025e2 7.35799e24
5.01697e-6 1.05e1 1.92025e2 6.34492e24
5.01697e-6 1.05e1 1.93025e2 5.47381e24
5.01697e-6 1.05e1 1.94025e2 4.72401e24
5.01697e-6 1.05e1 1.95025e2 4.07569e24
5.01697e-6 1.05e1 1.96025e2 3.51615e24
5.01697e-6 1.05e1 1.97025e2 3.03354e24
5.01697e-6 1.05e1 1.98025e2 2.61721e24
5.01697e-6 1.05e1 1.99025e2 2.25813e24
5.01697e-6 1.525e1 1.60125e1 9.17773e33
5.01697e-6 1.525e1 1.70125e1 1.26282e34
5.01697e-6 1.525e1 1.80125e1 1.53801e34
5.01697e-6 1.525e1 1.90125e1 1.72955e34
5.01697e-6 1.525e1 2.00125e1 1.85335e34
5.01697e-6 1.525e1 2.10125e1 1.91708e34
5.01697e-6 1.525e1 2.20125e1 1.94539e34
5.01697e-6 1.525e1 2.30125e1 1.94015e34
5.01697e-6 1.525e1 2.40125e1 1.90878e34
5.01697e-6 1.525e1 2.50125e1 1.85725e34
5.01697e-6 1.525e1 2.60125e1 1.79213e34
5.01697e-6 1.525e1 2.70125e1 1.71504e34
5.01697e-6 1.525e1 2.80125e1 1.63107e34
5.01697e-6 1.525e1 2.90125e1 1.54259e34
5.01697e-6 1.525e1 3.00125e1 1.45192e34
5.01697e-6 1.525e1 3.10125e1 1.37158e34
5.01697e-6 1.525e1 3.20125e1 1.27667e34
5.01697e-6 1.525e1 3.30125e1 1.18396e34
5.01697e-6 1.525e1 3.40125e1 1.09465e34
5.01697e-6 1.525e1 3.50125e1 1.00934e34
5.01697e-6 1.525e1 3.60125e1 9.10643e33
5.01697e-6 1.525e1 3.70125e1 8.41246e33
5.01697e-6 1.525e1 3.80125e1 7.76148e33
5.01697e-6 1.525e1 3.90125e1 7.14782e33
5.01697e-6 1.525e1 4.00125e1 6.57111e33
5.01697e-6 1.525e1 4.10125e1 6.07905e33
5.01697e-6 1.525e1 4.20125e1 5.55545e33
5.01697e-6 1.525e1 4.30125e1 5.06735e33
5.01697e-6 1.525e1 4.40125e1 4.61587e33
5.01697e-6 1.525e1 4.50125e1 4.1991e33
5.01697e-6 1.525e1 4.60125e1 3.80821e33
5.01697e-6 1.525e1 4.70125e1 3.4584e33
5.01697e-6 1.525e1 4.80125e1 3.13777e33
5.01697e-6 1.525e1 4.90125e1 2.84391e33
5.01697e-6 1.525e1 5.00125e1 2.57487e33
5.01697e-6 1.525e1 5.10125e1 2.32524e33
5.01697e-6 1.525e1 5.20125e1 2.10305e33
5.01697e-6 1.525e1 5.30125e1 1.90084e33
5.01697e-6 1.525e1 5.40125e1 1.71678e33
5.01697e-6 1.525e1 5.50125e1 1.54912e33
5.01697e-6 1.525e1 5.60125e1 1.39529e33
5.01697e-6 1.525e1 5.70125e1 1.25832e33
5.01697e-6 1.525e1 5.80125e1 1.13421e33
5.01697e-6 1.525e1 5.90125e1 1.02178e33
5.01697e-6 1.525e1 6.00125e1 9.19791e32
5.01697e-6 1.525e1 6.10125e1 8.26476e32
5.01697e-6 1.525e1 6.20125e1 7.4395e32
5.01697e-6 1.525e1 6.30125e1 6.69451e32
5.01697e-6 1.525e1 6.40125e1 6.02169e32
5.01697e-6 1.525e1 6.50125e1 5.41176e32
5.01697e-6 1.525e1 6.60125e1 4.85716e32
5.01697e-6 1.525e1 6.70125e1 4.36687e32
5.01697e-6 1.525e1 6.80125e1 3.92539e32
5.01697e-6 1.525e1 6.90125e1 3.52747e32
5.01697e-6 1.525e1 7.00125e1 3.16682e32
5.01697e-6 1.525e1 7.10125e1 2.84023e32
5.01697e-6 1.525e1 7.20125e1 2.55224e32
5.01697e-6 1.525e1 7.30125e1 2.29337e32
5.01697e-6 1.525e1 7.40125e1 2.06038e32
5.01697e-6 1.525e1 7.50125e1 1.84983e32
5.01697e-6 1.525e1 7.60125e1 1.65996e32
5.01697e-6 1.525e1 7.70125e1 1.49135e32
5.01697e-6 1.525e1 7.80125e1 1.33987e32
5.01697e-6 1.525e1 7.90125e1 1.20363e32
5.01697e-6 1.525e1 8.00125e1 1.08063e32
5.01697e-6 1.525e1 8.10125e1 9.7048e31
5.01697e-6 1.525e1 8.20125e1 8.71532e31
5.01697e-6 1.525e1 8.30125e1 7.83176e31
5.01697e-6 1.525e1 8.40125e1 7.03741e31
5.01697e-6 1.525e1 8.50125e1 6.3171e31
5.01697e-6 1.525e1 8.60125e1 5.6694e31
5.01697e-6 1.525e1 8.70125e1 5.07624e31
5.01697e-6 1.525e1 8.80125e1 4.5851e31
5.01697e-6 1.525e1 8.90125e1 4.1238e31
5.01697e-6 1.525e1 9.00125e1 3.70671e31
5.01697e-6 1.525e1 9.10125e1 3.3317e31
5.01697e-6 1.525e1 9.20125e1 2.99889e31
5.01697e-6 1.525e1 9.30125e1 2.70004e31
5.01697e-6 1.525e1 9.40125e1 2.43116e31
5.01697e-6 1.525e1 9.50125e1 2.18756e31
5.01697e-6 1.525e1 9.60125e1 1.96853e31
5.01697e-6 1.525e1 9.70125e1 1.77403e31
5.01697e-6 1.525e1 9.80125e1 1.63466e31
5.01697e-6 1.525e1 9.90125e1 1.44485e31
5.01697e-6 1.525e1 1.00013e2 1.31308e31
5.01697e-6 1.525e1 1.01013e2 1.19364e31
5.01697e-6 1.525e1 1.02013e2 1.0712e31
5.01697e-6 1.525e1 1.03013e2 9.59721e30
5.01697e-6 1.525e1 1.04013e2 8.56922e30
5.01697e-6 1.525e1 1.05013e2 7.6087e30
5.01697e-6 1.525e1 1.06013e2 6.75558e30
5.01697e-6 1.525e1 1.07013e2 6.08839e30
5.01697e-6 1.525e1 1.08013e2 5.49928e30
5.01697e-6 1.525e1 1.09013e2 4.96717e30
5.01697e-6 1.525e1 1.10013e2 4.48591e30
5.01697e-6 1.525e1 1.11013e2 4.05198e30
5.01697e-6 1.525e1 1.12013e2 3.66454e30
5.01697e-6 1.525e1 1.13013e2 3.31543e30
5.01697e-6 1.525e1 1.14013e2 2.98212e30
5.01697e-6 1.525e1 1.15013e2 2.67276e30
5.01697e-6 1.525e1 1.16013e2 2.39511e30
5.01697e-6 1.525e1 1.17013e2 2.18414e30
5.01697e-6 1.525e1 1.18013e2 1.99938e30
5.01697e-6 1.525e1 1.19013e2 1.84603e30
5.01697e-6 1.525e1 1.20013e2 1.71076e30
5.01697e-6 1.525e1 1.21013e2 1.58768e30
5.01697e-6 1.525e1 1.22013e2 1.44851e30
5.01697e-6 1.525e1 1.23013e2 1.31744e30
5.01697e-6 1.525e1 1.24013e2 1.19832e30
5.01697e-6 1.525e1 1.25013e2 1.09029e30
5.01697e-6 1.525e1 1.26013e2 9.91857e29
5.01697e-6 1.525e1 1.27013e2 9.03867e29
5.01697e-6 1.525e1 1.28013e2 8.23724e29
5.01697e-6 1.525e1 1.29013e2 7.50712e29
5.01697e-6 1.525e1 1.30013e2 6.84314e29
5.01697e-6 1.525e1 1.31013e2 6.23996e29
5.01697e-6 1.525e1 1.32013e2 7.22134e29
5.01697e-6 1.525e1 1.33013e2 1.12862e30
5.01697e-6 1.525e1 1.34013e2 1.30259e30
5.01697e-6 1.525e1 1.35013e2 1.39775e30
5.01697e-6 1.525e1 1.36013e2 1.48668e29
5.01697e-6 1.525e1 1.37013e2 7.13079e28
5.01697e-6 1.525e1 1.38013e2 4.57873e28
5.01697e-6 1.525e1 1.39013e2 3.27786e28
5.01697e-6 1.525e1 1.40013e2 2.48312e28
5.01697e-6 1.525e1 1.41013e2 1.94543e28
5.01697e-6 1.525e1 1.42013e2 1.55774e28
5.01697e-6 1.525e1 1.43013e2 1.26692e28
5.01697e-6 1.525e1 1.44013e2 1.04082e28
5.01697e-6 1.525e1 1.45013e2 8.62597e27
5.01697e-6 1.525e1 1.46013e2 7.19438e27
5.01697e-6 1.525e1 1.47013e2 6.0315e27
5.01697e-6 1.525e1 1.48013e2 5.07605e27
5.01697e-6 1.525e1 1.49013e2 4.28683e27
5.01697e-6 1.525e1 1.50013e2 3.63008e27
5.01697e-6 1.525e1 1.51013e2 3.08105e27
5.01697e-6 1.525e1 1.52013e2 2.62024e27
5.01697e-6 1.525e1 1.53013e2 2.232e27
5.01697e-6 1.525e1 1.54013e2 1.90402e27
5.01697e-6 1.525e1 1.55013e2 1.62627e27
5.01697e-6 1.525e1 1.56013e2 1.39056e27
5.01697e-6 1.525e1 1.57013e2 1.19019e27
5.01697e-6 1.525e1 1.58013e2 1.01953e27
5.01697e-6 1.525e1 1.59013e2 8.7397e26
5.01697e-6 1.525e1 1.60013e2 7.49666e26
5.01697e-6 1.525e1 1.61013e2 6.43414e26
5.01697e-6 1.525e1 1.62013e2 5.52548e26
5.01697e-6 1.525e1 1.63013e2 4.74716e26
5.01697e-6 1.525e1 1.64013e2 4.08012e26
5.01697e-6 1.525e1 1.65013e2 3.50816e26
5.01697e-6 1.525e1 1.66013e2 3.01711e26
5.01697e-6 1.525e1 1.67013e2 2.59582e26
