# Ea rad s(Ea,rad)
1.000000e+00 0.000000e+00 6.209800e-02
1.000000e+00 1.000000e+00 6.290102e-02
1.000000e+00 2.000000e+00 6.423302e-02
1.000000e+00 3.000000e+00 6.926661e-02
1.000000e+00 4.000000e+00 7.498031e-02
1.000000e+00 5.000000e+00 8.383678e-02
1.000000e+00 6.000000e+00 9.917876e-02
1.000000e+00 7.000000e+00 1.120937e-01
1.000000e+00 8.000000e+00 1.038427e-01
1.000000e+00 9.000000e+00 9.016605e-02
1.000000e+00 1.000000e+01 8.073420e-02
1.000000e+00 1.100000e+01 7.361785e-02
1.000000e+00 1.200000e+01 6.727877e-02
1.000000e+00 1.300000e+01 6.071147e-02
1.000000e+00 1.400000e+01 5.409188e-02
1.000000e+00 1.500000e+01 4.511191e-02
1.000000e+00 1.600000e+01 3.637544e-02
1.000000e+00 1.700000e+01 2.688417e-02
1.000000e+00 1.800000e+01 1.971001e-02
1.000000e+00 1.900000e+01 1.418215e-02
1.000000e+00 2.000000e+01 1.181465e-02
4.020202e+00 0.000000e+00 6.677180e-02
4.020202e+00 1.000000e+00 6.802238e-02
4.020202e+00 2.000000e+00 6.979356e-02
4.020202e+00 3.000000e+00 7.530589e-02
4.020202e+00 4.000000e+00 8.133824e-02
4.020202e+00 5.000000e+00 9.045859e-02
4.020202e+00 6.000000e+00 1.057964e-01
4.020202e+00 7.000000e+00 1.183019e-01
4.020202e+00 8.000000e+00 1.088913e-01
4.020202e+00 9.000000e+00 9.435719e-02
4.020202e+00 1.000000e+01 8.453126e-02
4.020202e+00 1.100000e+01 7.725517e-02
4.020202e+00 1.200000e+01 7.087321e-02
4.020202e+00 1.300000e+01 6.429441e-02
4.020202e+00 1.400000e+01 5.770762e-02
4.020202e+00 1.500000e+01 4.863070e-02
4.020202e+00 1.600000e+01 3.981497e-02
4.020202e+00 1.700000e+01 3.008513e-02
4.020202e+00 1.800000e+01 2.281834e-02
4.020202e+00 1.900000e+01 1.724306e-02
4.020202e+00 2.000000e+01 1.531677e-02
7.040404e+00 0.000000e+00 7.301685e-02
7.040404e+00 1.000000e+00 7.403683e-02
7.040404e+00 2.000000e+00 7.570642e-02
7.040404e+00 3.000000e+00 8.135306e-02
7.040404e+00 4.000000e+00 8.759410e-02
7.040404e+00 5.000000e+00 9.703646e-02
7.040404e+00 6.000000e+00 1.128017e-01
7.040404e+00 7.000000e+00 1.250029e-01
7.040404e+00 8.000000e+00 1.144020e-01
7.040404e+00 9.000000e+00 9.897972e-02
7.040404e+00 1.000000e+01 8.875030e-02
7.040404e+00 1.100000e+01 8.132520e-02
7.040404e+00 1.200000e+01 7.492636e-02
7.040404e+00 1.300000e+01 6.837034e-02
7.040404e+00 1.400000e+01 6.186194e-02
7.040404e+00 1.500000e+01 5.272686e-02
7.040404e+00 1.600000e+01 4.387947e-02
7.040404e+00 1.700000e+01 3.393824e-02
7.040404e+00 1.800000e+01 2.664661e-02
7.040404e+00 1.900000e+01 2.112417e-02
7.040404e+00 2.000000e+01 1.988759e-02
1.006061e+01 0.000000e+00 7.908497e-02
1.006061e+01 1.000000e+00 8.023546e-02
1.006061e+01 2.000000e+00 8.210418e-02
1.006061e+01 3.000000e+00 8.806005e-02
1.006061e+01 4.000000e+00 9.454246e-02
1.006061e+01 5.000000e+00 1.042391e-01
1.006061e+01 6.000000e+00 1.202364e-01
1.006061e+01 7.000000e+00 1.321475e-01
1.006061e+01 8.000000e+00 1.203447e-01
1.006061e+01 9.000000e+00 1.039954e-01
1.006061e+01 1.000000e+01 9.334719e-02
1.006061e+01 1.100000e+01 8.577751e-02
1.006061e+01 1.200000e+01 7.938006e-02
1.006061e+01 1.300000e+01 7.287239e-02
