# Ea rad s(Ea,rad)
1.000000e+00 0.000000e+00 1.529874e-01
1.000000e+00 1.000000e+00 1.557795e-01
1.000000e+00 2.000000e+00 1.604338e-01
1.000000e+00 3.000000e+00 1.751655e-01
1.000000e+00 4.000000e+00 1.925765e-01
1.000000e+00 5.000000e+00 2.204761e-01
1.000000e+00 6.000000e+00 2.788064e-01
1.000000e+00 7.000000e+00 3.450394e-01
1.000000e+00 8.000000e+00 3.539048e-01
1.000000e+00 9.000000e+00 3.269217e-01
1.000000e+00 1.000000e+01 3.052685e-01
1.000000e+00 1.100000e+01 2.898125e-01
1.000000e+00 1.200000e+01 2.775532e-01
1.000000e+00 1.300000e+01 2.658924e-01
1.000000e+00 1.400000e+01 2.539566e-01
1.000000e+00 1.500000e+01 2.372241e-01
1.000000e+00 1.600000e+01 2.182611e-01
1.000000e+00 1.700000e+01 1.940660e-01
1.000000e+00 1.800000e+01 1.710312e-01
1.000000e+00 1.900000e+01 1.538349e-01
1.000000e+00 2.000000e+01 1.474461e-01
4.020202e+00 0.000000e+00 1.646929e-01
4.020202e+00 1.000000e+00 1.685232e-01
4.020202e+00 2.000000e+00 1.743066e-01
4.020202e+00 3.000000e+00 1.904266e-01
4.020202e+00 4.000000e+00 2.089680e-01
4.020202e+00 5.000000e+00 2.380789e-01
4.020202e+00 6.000000e+00 2.975895e-01
4.020202e+00 7.000000e+00 3.641951e-01
4.020202e+00 8.000000e+00 3.708587e-01
4.020202e+00 9.000000e+00 3.416232e-01
4.020202e+00 1.000000e+01 3.189920e-01
4.020202e+00 1.100000e+01 3.033632e-01
4.020202e+00 1.200000e+01 2.914428e-01
4.020202e+00 1.300000e+01 2.804125e-01
4.020202e+00 1.400000e+01 2.694561e-01
4.020202e+00 1.500000e+01 2.537693e-01
4.020202e+00 1.600000e+01 2.363088e-01
4.020202e+00 1.700000e+01 2.137230e-01
4.020202e+00 1.800000e+01 1.933771e-01
4.020202e+00 1.900000e+01 1.802326e-01
4.020202e+00 2.000000e+01 1.803779e-01
7.040404e+00 0.000000e+00 1.803347e-01
7.040404e+00 1.000000e+00 1.838310e-01
7.040404e+00 2.000000e+00 1.895988e-01
7.040404e+00 3.000000e+00 2.063001e-01
7.040404e+00 4.000000e+00 2.256144e-01
7.040404e+00 5.000000e+00 2.559159e-01
7.040404e+00 6.000000e+00 3.177361e-01
7.040404e+00 7.000000e+00 3.848746e-01
7.040404e+00 8.000000e+00 3.889768e-01
7.040404e+00 9.000000e+00 3.572730e-01
7.040404e+00 1.000000e+01 3.335634e-01
7.040404e+00 1.100000e+01 3.177297e-01
7.040404e+00 1.200000e+01 3.061516e-01
7.040404e+00 1.300000e+01 2.957600e-01
7.040404e+00 1.400000e+01 2.858091e-01
7.040404e+00 1.500000e+01 2.711245e-01
7.040404e+00 1.600000e+01 2.551408e-01
7.040404e+00 1.700000e+01 2.340813e-01
7.040404e+00 1.800000e+01 2.164789e-01
7.040404e+00 1.900000e+01 2.072958e-01
7.040404e+00 2.000000e+01 2.136121e-01
1.006061e+01 0.000000e+00 1.958895e-01
1.006061e+01 1.000000e+00 1.997775e-01
1.006061e+01 2.000000e+00 2.061655e-01
1.006061e+01 3.000000e+00 2.238893e-01
1.006061e+01 4.000000e+00 2.441538e-01
1.006061e+01 5.000000e+00 2.756318e-01
1.006061e+01 6.000000e+00 3.393011e-01
1.006061e+01 7.000000e+00 4.069535e-01
1.006061e+01 8.000000e+00 4.082378e-01
1.006061e+01 9.000000e+00 3.738161e-01
1.006061e+01 1.000000e+01 3.489158e-01
1.006061e+01 1.100000e+01 3.328341e-01
1.006061e+01 1.200000e+01 3.215878e-01
1.006061e+01 1.300000e+01 3.118287e-01
1.006061e+01 1.400000e+01 3.028896e-01
1.006061e+01 1.500000e+01 2.891511e-01
1.006061e+01 1.600000e+01 2.745963e-01
1.006061e+01 1.700000e+01 2.549580e-01
1.006061e+01 1.800000e+01 2.400731e-01
1.006061e+01 1.900000e+01 2.345906e-01
1.006061e+01 2.000000e+01 2.464067e-01
1.308081e+01 0.000000e+00 2.131625e-01
1.308081e+01 1.000000e+00 2.175186e-01
1.308081e+01 2.000000e+00 2.244431e-01
1.308081e+01 3.000000e+00 2.430485e-01
1.308081e+01 4.000000e+00 2.641295e-01
1.308081e+01 5.000000e+00 2.966574e-01
1.308081e+01 6.000000e+00 3.621925e-01
1.308081e+01 7.000000e+00 4.303168e-01
1.308081e+01 8.000000e+00 4.284130e-01
1.308081e+01 9.000000e+00 3.910288e-01
1.308081e+01 1.000000e+01 3.648307e-01
1.308081e+01 1.100000e+01 3.484556e-01
1.308081e+01 1.200000e+01 3.375232e-01
1.308081e+01 1.300000e+01 3.283815e-01
1.308081e+01 1.400000e+01 3.204479e-01
1.308081e+01 1.500000e+01 3.075979e-01
1.308081e+01 1.600000e+01 2.944162e-01
1.308081e+01 1.700000e+01 2.760909e-01
1.308081e+01 1.800000e+01 2.638419e-01
1.308081e+01 1.900000e+01 2.616886e-01
1.308081e+01 2.000000e+01 2.781720e-01
1.610101e+01 0.000000e+00 2.320116e-01
1.610101e+01 1.000000e+00 2.366632e-01
1.610101e+01 2.000000e+00 2.440210e-01
1.610101e+01 3.000000e+00 2.634684e-01
1.610101e+01 4.000000e+00 2.853678e-01
1.610101e+01 5.000000e+00 3.189575e-01
1.610101e+01 6.000000e+00 3.864119e-01
1.610101e+01 7.000000e+00 4.547705e-01
1.610101e+01 8.000000e+00 4.492755e-01
1.610101e+01 9.000000e+00 4.086895e-01
1.610101e+01 1.000000e+01 3.810933e-01
1.610101e+01 1.100000e+01 3.643795e-01
1.610101e+01 1.200000e+01 3.537376e-01
1.610101e+01 1.300000e+01 3.451919e-01
1.610101e+01 1.400000e+01 3.382470e-01
1.610101e+01 1.500000e+01 3.262277e-01
1.610101e+01 1.600000e+01 3.143568e-01
1.610101e+01 1.700000e+01 2.972347e-01
1.610101e+01 1.800000e+01 2.874941e-01
1.610101e+01 1.900000e+01 2.882222e-01
1.610101e+01 2.000000e+01 3.084737e-01
1.912121e+01 0.000000e+00 2.520790e-01
1.912121e+01 1.000000e+00 2.569947e-01
1.912121e+01 2.000000e+00 2.648400e-01
1.912121e+01 3.000000e+00 2.851951e-01
1.912121e+01 4.000000e+00 3.079447e-01
1.912121e+01 5.000000e+00 3.425840e-01
1.912121e+01 6.000000e+00 4.118549e-01
1.912121e+01 7.000000e+00 4.801414e-01
1.912121e+01 8.000000e+00 4.706166e-01
1.912121e+01 9.000000e+00 4.265991e-01
1.912121e+01 1.000000e+01 3.975131e-01
1.912121e+01 1.100000e+01 3.804167e-01
1.912121e+01 1.200000e+01 3.700381e-01
1.912121e+01 1.300000e+01 3.620620e-01
1.912121e+01 1.400000e+01 3.560803e-01
1.912121e+01 1.500000e+01 3.448340e-01
1.912121e+01 1.600000e+01 3.342059e-01
1.912121e+01 1.700000e+01 3.181753e-01
1.912121e+01 1.800000e+01 3.107764e-01
1.912121e+01 1.900000e+01 3.138904e-01
1.912121e+01 2.000000e+01 3.370106e-01
2.214141e+01 0.000000e+00 2.732927e-01
2.214141e+01 1.000000e+00 2.785671e-01
2.214141e+01 2.000000e+00 2.870076e-01
2.214141e+01 3.000000e+00 3.083184e-01
2.214141e+01 4.000000e+00 3.319021e-01
2.214141e+01 5.000000e+00 3.675160e-01
2.214141e+01 6.000000e+00 4.384050e-01
2.214141e+01 7.000000e+00 5.062762e-01
2.214141e+01 8.000000e+00 4.922507e-01
2.214141e+01 9.000000e+00 4.445847e-01
2.214141e+01 1.000000e+01 4.139270e-01
2.214141e+01 1.100000e+01 3.964060e-01
2.214141e+01 1.200000e+01 3.862609e-01
2.214141e+01 1.300000e+01 3.788243e-01
2.214141e+01 1.400000e+01 3.737733e-01
2.214141e+01 1.500000e+01 3.632421e-01
2.214141e+01 1.600000e+01 3.537838e-01
2.214141e+01 1.700000e+01 3.387302e-01
2.214141e+01 1.800000e+01 3.334747e-01
2.214141e+01 1.900000e+01 3.384567e-01
2.214141e+01 2.000000e+01 3.635897e-01
2.516162e+01 0.000000e+00 2.957516e-01
2.516162e+01 1.000000e+00 3.014996e-01
2.516162e+01 2.000000e+00 3.106068e-01
2.516162e+01 3.000000e+00 3.328649e-01
2.516162e+01 4.000000e+00 3.572217e-01
2.516162e+01 5.000000e+00 3.936938e-01
2.516162e+01 6.000000e+00 4.659664e-01
2.516162e+01 7.000000e+00 5.330339e-01
2.516162e+01 8.000000e+00 5.140151e-01
2.516162e+01 9.000000e+00 4.624994e-01
2.516162e+01 1.000000e+01 4.301975e-01
2.516162e+01 1.100000e+01 4.122128e-01
2.516162e+01 1.200000e+01 4.022699e-01
2.516162e+01 1.300000e+01 3.953396e-01
2.516162e+01 1.400000e+01 3.911810e-01
2.516162e+01 1.500000e+01 3.813070e-01
2.516162e+01 1.600000e+01 3.729405e-01
2.516162e+01 1.700000e+01 3.587473e-01
2.516162e+01 1.800000e+01 3.554133e-01
2.516162e+01 1.900000e+01 3.617433e-01
2.516162e+01 2.000000e+01 3.881044e-01
2.818182e+01 0.000000e+00 3.195732e-01
2.818182e+01 1.000000e+00 3.258669e-01
2.818182e+01 2.000000e+00 3.356618e-01
2.818182e+01 3.000000e+00 3.588179e-01
2.818182e+01 4.000000e+00 3.838626e-01
2.818182e+01 5.000000e+00 4.210559e-01
2.818182e+01 6.000000e+00 4.944600e-01
2.818182e+01 7.000000e+00 5.602834e-01
2.818182e+01 8.000000e+00 5.357683e-01
2.818182e+01 9.000000e+00 4.802187e-01
2.818182e+01 1.000000e+01 4.462099e-01
2.818182e+01 1.100000e+01 4.277256e-01
2.818182e+01 1.200000e+01 4.179526e-01
2.818182e+01 1.300000e+01 4.114933e-01
2.818182e+01 1.400000e+01 4.081841e-01
2.818182e+01 1.500000e+01 3.989093e-01
2.818182e+01 1.600000e+01 3.915528e-01
2.818182e+01 1.700000e+01 3.781016e-01
2.818182e+01 1.800000e+01 3.764510e-01
2.818182e+01 1.900000e+01 3.836237e-01
2.818182e+01 2.000000e+01 4.105144e-01
3.120202e+01 0.000000e+00 3.448267e-01
3.120202e+01 1.000000e+00 3.516906e-01
3.120202e+01 2.000000e+00 3.621635e-01
3.120202e+01 3.000000e+00 3.861492e-01
3.120202e+01 4.000000e+00 4.117847e-01
3.120202e+01 5.000000e+00 4.495508e-01
3.120202e+01 6.000000e+00 5.238136e-01
3.120202e+01 7.000000e+00 5.879035e-01
3.120202e+01 8.000000e+00 5.573876e-01
3.120202e+01 9.000000e+00 4.976381e-01
3.120202e+01 1.000000e+01 4.618696e-01
3.120202e+01 1.100000e+01 4.428528e-01
3.120202e+01 1.200000e+01 4.332171e-01
3.120202e+01 1.300000e+01 4.271922e-01
3.120202e+01 1.400000e+01 4.246857e-01
3.120202e+01 1.500000e+01 4.159523e-01
3.120202e+01 1.600000e+01 4.095211e-01
3.120202e+01 1.700000e+01 3.966927e-01
