# Ea rad s(Ea,rad)
1.912121e+01 6.000000e+00 2.198415e-02
1.912121e+01 7.000000e+00 2.354278e-02
1.912121e+01 8.000000e+00 2.109534e-02
1.912121e+01 9.000000e+00 1.815543e-02
1.912121e+01 1.000000e+01 1.633718e-02
1.912121e+01 1.100000e+01 1.512039e-02
1.912121e+01 1.200000e+01 1.415587e-02
1.912121e+01 1.300000e+01 1.320600e-02
1.912121e+01 1.400000e+01 1.231297e-02
1.912121e+01 1.500000e+01 1.095737e-02
1.912121e+01 1.600000e+01 9.682010e-03
1.912121e+01 1.700000e+01 8.142751e-03
1.912121e+01 1.800000e+01 7.146562e-03
1.912121e+01 1.900000e+01 6.470746e-03
1.912121e+01 2.000000e+01 6.840255e-03
2.214141e+01 0.000000e+00 1.672754e-02
2.214141e+01 1.000000e+00 1.690461e-02
2.214141e+01 2.000000e+00 1.720602e-02
2.214141e+01 3.000000e+00 1.820255e-02
2.214141e+01 4.000000e+00 1.926444e-02
2.214141e+01 5.000000e+00 2.083266e-02
2.214141e+01 6.000000e+00 2.331960e-02
2.214141e+01 7.000000e+00 2.479250e-02
2.214141e+01 8.000000e+00 2.210918e-02
2.214141e+01 9.000000e+00 1.900079e-02
2.214141e+01 1.000000e+01 1.710913e-02
2.214141e+01 1.100000e+01 1.586863e-02
2.214141e+01 1.200000e+01 1.490722e-02
2.214141e+01 1.300000e+01 1.397042e-02
2.214141e+01 1.400000e+01 1.310344e-02
2.214141e+01 1.500000e+01 1.175338e-02
2.214141e+01 1.600000e+01 1.049255e-02
2.214141e+01 1.700000e+01 8.938623e-03
2.214141e+01 1.800000e+01 7.967077e-03
2.214141e+01 1.900000e+01 7.316506e-03
2.214141e+01 2.000000e+01 7.798795e-03
2.516162e+01 0.000000e+00 1.803267e-02
2.516162e+01 1.000000e+00 1.821675e-02
2.516162e+01 2.000000e+00 1.853268e-02
2.516162e+01 3.000000e+00 1.955523e-02
2.516162e+01 4.000000e+00 2.063286e-02
2.516162e+01 5.000000e+00 2.221436e-02
2.516162e+01 6.000000e+00 2.470186e-02
2.516162e+01 7.000000e+00 2.607311e-02
2.516162e+01 8.000000e+00 2.313584e-02
2.516162e+01 9.000000e+00 1.985147e-02
2.516162e+01 1.000000e+01 1.788388e-02
2.516162e+01 1.100000e+01 1.661880e-02
2.516162e+01 1.200000e+01 1.566038e-02
2.516162e+01 1.300000e+01 1.473695e-02
2.516162e+01 1.400000e+01 1.389664e-02
2.516162e+01 1.500000e+01 1.255301e-02
2.516162e+01 1.600000e+01 1.130777e-02
2.516162e+01 1.700000e+01 9.740202e-03
2.516162e+01 1.800000e+01 8.792877e-03
2.516162e+01 1.900000e+01 8.160852e-03
2.516162e+01 2.000000e+01 8.739124e-03
2.818182e+01 0.000000e+00 1.941279e-02
2.818182e+01 1.000000e+00 1.960709e-02
2.818182e+01 2.000000e+00 1.993640e-02
2.818182e+01 3.000000e+00 2.097939e-02
2.818182e+01 4.000000e+00 2.206605e-02
2.818182e+01 5.000000e+00 2.365246e-02
2.818182e+01 6.000000e+00 2.612795e-02
2.818182e+01 7.000000e+00 2.737904e-02
2.818182e+01 8.000000e+00 2.416852e-02
2.818182e+01 9.000000e+00 2.070096e-02
2.818182e+01 1.000000e+01 1.865514e-02
2.818182e+01 1.100000e+01 1.736457e-02
2.818182e+01 1.200000e+01 1.640876e-02
2.818182e+01 1.300000e+01 1.549865e-02
2.818182e+01 1.400000e+01 1.468509e-02
2.818182e+01 1.500000e+01 1.334837e-02
2.818182e+01 1.600000e+01 1.211916e-02
2.818182e+01 1.700000e+01 1.053849e-02
2.818182e+01 1.800000e+01 9.613707e-03
2.818182e+01 1.900000e+01 8.992186e-03
2.818182e+01 2.000000e+01 9.648198e-03
3.120202e+01 0.000000e+00 2.087351e-02
3.120202e+01 1.000000e+00 2.107692e-02
3.120202e+01 2.000000e+00 2.141582e-02
3.120202e+01 3.000000e+00 2.247278e-02
3.120202e+01 4.000000e+00 2.356188e-02
3.120202e+01 5.000000e+00 2.514507e-02
3.120202e+01 6.000000e+00 2.759504e-02
3.120202e+01 7.000000e+00 2.870505e-02
3.120202e+01 8.000000e+00 2.520121e-02
3.120202e+01 9.000000e+00 2.154368e-02
3.120202e+01 1.000000e+01 1.941759e-02
3.120202e+01 1.100000e+01 1.810060e-02
3.120202e+01 1.200000e+01 1.714683e-02
3.120202e+01 1.300000e+01 1.624971e-02
3.120202e+01 1.400000e+01 1.546258e-02
3.120202e+01 1.500000e+01 1.413287e-02
3.120202e+01 1.600000e+01 1.291961e-02
3.120202e+01 1.700000e+01 1.132594e-02
3.120202e+01 1.800000e+01 1.042101e-02
3.120202e+01 1.900000e+01 9.801177e-03
3.120202e+01 2.000000e+01 1.051643e-02
3.422222e+01 0.000000e+00 2.241610e-02
3.422222e+01 1.000000e+00 2.262504e-02
3.422222e+01 2.000000e+00 2.296916e-02
3.422222e+01 3.000000e+00 2.403394e-02
3.422222e+01 4.000000e+00 2.511916e-02
3.422222e+01 5.000000e+00 2.669082e-02
3.422222e+01 6.000000e+00 2.910018e-02
3.422222e+01 7.000000e+00 3.004620e-02
3.422222e+01 8.000000e+00 2.622863e-02
3.422222e+01 9.000000e+00 2.237488e-02
3.422222e+01 1.000000e+01 2.016674e-02
3.422222e+01 1.100000e+01 1.882245e-02
3.422222e+01 1.200000e+01 1.787002e-02
3.422222e+01 1.300000e+01 1.698532e-02
3.422222e+01 1.400000e+01 1.622393e-02
3.422222e+01 1.500000e+01 1.490105e-02
3.422222e+01 1.600000e+01 1.370321e-02
3.422222e+01 1.700000e+01 1.209627e-02
3.422222e+01 1.800000e+01 1.120774e-02
3.422222e+01 1.900000e+01 1.058050e-02
3.422222e+01 2.000000e+01 1.133708e-02
3.724242e+01 0.000000e+00 2.403954e-02
3.724242e+01 1.000000e+00 2.424984e-02
3.724242e+01 2.000000e+00 2.459537e-02
3.724242e+01 3.000000e+00 2.566221e-02
3.724242e+01 4.000000e+00 2.673713e-02
3.724242e+01 5.000000e+00 2.828841e-02
3.724242e+01 6.000000e+00 3.064031e-02
3.724242e+01 7.000000e+00 3.139782e-02
3.724242e+01 8.000000e+00 2.724611e-02
3.724242e+01 9.000000e+00 2.319053e-02
3.724242e+01 1.000000e+01 2.089886e-02
3.724242e+01 1.100000e+01 1.952642e-02
3.724242e+01 1.200000e+01 1.857453e-02
3.724242e+01 1.300000e+01 1.770151e-02
3.724242e+01 1.400000e+01 1.696492e-02
3.724242e+01 1.500000e+01 1.564845e-02
3.724242e+01 1.600000e+01 1.446511e-02
3.724242e+01 1.700000e+01 1.284434e-02
3.724242e+01 1.800000e+01 1.196820e-02
3.724242e+01 1.900000e+01 1.132455e-02
3.724242e+01 2.000000e+01 1.210574e-02
4.026263e+01 0.000000e+00 2.574229e-02
4.026263e+01 1.000000e+00 2.595034e-02
4.026263e+01 2.000000e+00 2.629418e-02
4.026263e+01 3.000000e+00 2.735728e-02
4.026263e+01 4.000000e+00 2.841498e-02
4.026263e+01 5.000000e+00 2.993626e-02
4.026263e+01 6.000000e+00 3.221225e-02
4.026263e+01 7.000000e+00 3.275556e-02
4.026263e+01 8.000000e+00 2.824959e-02
4.026263e+01 9.000000e+00 2.398722e-02
4.026263e+01 1.000000e+01 2.161085e-02
4.026263e+01 1.100000e+01 2.020951e-02
4.026263e+01 1.200000e+01 1.925728e-02
4.026263e+01 1.300000e+01 1.839506e-02
4.026263e+01 1.400000e+01 1.768207e-02
4.026263e+01 1.500000e+01 1.637141e-02
4.026263e+01 1.600000e+01 1.520139e-02
4.026263e+01 1.700000e+01 1.356599e-02
4.026263e+01 1.800000e+01 1.269789e-02
4.026263e+01 1.900000e+01 1.202922e-02
4.026263e+01 2.000000e+01 1.281983e-02
