# Ea rad s(Ea,rad)
1.912121e+01 6.000000e+00 1.810936e-01
1.912121e+01 7.000000e+00 2.237322e-01
1.912121e+01 8.000000e+00 2.334627e-01
1.912121e+01 9.000000e+00 2.194893e-01
1.912121e+01 1.000000e+01 2.091900e-01
1.912121e+01 1.100000e+01 2.041483e-01
1.912121e+01 1.200000e+01 2.028642e-01
1.912121e+01 1.300000e+01 2.038636e-01
1.912121e+01 1.400000e+01 2.063575e-01
1.912121e+01 1.500000e+01 2.094226e-01
1.912121e+01 1.600000e+01 2.128566e-01
1.912121e+01 1.700000e+01 2.151633e-01
1.912121e+01 1.800000e+01 2.199879e-01
1.912121e+01 1.900000e+01 2.318465e-01
1.912121e+01 2.000000e+01 2.500147e-01
2.214141e+01 0.000000e+00 1.112223e-01
2.214141e+01 1.000000e+00 1.130974e-01
2.214141e+01 2.000000e+00 1.165432e-01
2.214141e+01 3.000000e+00 1.258716e-01
2.214141e+01 4.000000e+00 1.368415e-01
2.214141e+01 5.000000e+00 1.541484e-01
2.214141e+01 6.000000e+00 1.918749e-01
2.214141e+01 7.000000e+00 2.342991e-01
2.214141e+01 8.000000e+00 2.419403e-01
2.214141e+01 9.000000e+00 2.263251e-01
2.214141e+01 1.000000e+01 2.153317e-01
2.214141e+01 1.100000e+01 2.101055e-01
2.214141e+01 1.200000e+01 2.089382e-01
2.214141e+01 1.300000e+01 2.102258e-01
2.214141e+01 1.400000e+01 2.132193e-01
2.214141e+01 1.500000e+01 2.168515e-01
2.214141e+01 1.600000e+01 2.211942e-01
2.214141e+01 1.700000e+01 2.246535e-01
2.214141e+01 1.800000e+01 2.312756e-01
2.214141e+01 1.900000e+01 2.446569e-01
2.214141e+01 2.000000e+01 2.632118e-01
2.516162e+01 0.000000e+00 1.201196e-01
2.516162e+01 1.000000e+00 1.221679e-01
2.516162e+01 2.000000e+00 1.258808e-01
2.516162e+01 3.000000e+00 1.356232e-01
2.516162e+01 4.000000e+00 1.469604e-01
2.516162e+01 5.000000e+00 1.646919e-01
2.516162e+01 6.000000e+00 2.030281e-01
2.516162e+01 7.000000e+00 2.450404e-01
2.516162e+01 8.000000e+00 2.503524e-01
2.516162e+01 9.000000e+00 2.330053e-01
2.516162e+01 1.000000e+01 2.212837e-01
2.516162e+01 1.100000e+01 2.158477e-01
2.516162e+01 1.200000e+01 2.147690e-01
2.516162e+01 1.300000e+01 2.163087e-01
2.516162e+01 1.400000e+01 2.197560e-01
2.516162e+01 1.500000e+01 2.238859e-01
2.516162e+01 1.600000e+01 2.290434e-01
2.516162e+01 1.700000e+01 2.335207e-01
2.516162e+01 1.800000e+01 2.417163e-01
2.516162e+01 1.900000e+01 2.561812e-01
2.516162e+01 2.000000e+01 2.745612e-01
2.818182e+01 0.000000e+00 1.295615e-01
2.818182e+01 1.000000e+00 1.318092e-01
2.818182e+01 2.000000e+00 1.357999e-01
2.818182e+01 3.000000e+00 1.459434e-01
2.818182e+01 4.000000e+00 1.576181e-01
2.818182e+01 5.000000e+00 1.757170e-01
2.818182e+01 6.000000e+00 2.145343e-01
2.818182e+01 7.000000e+00 2.559228e-01
2.818182e+01 8.000000e+00 2.586701e-01
2.818182e+01 9.000000e+00 2.395111e-01
2.818182e+01 1.000000e+01 2.270325e-01
2.818182e+01 1.100000e+01 2.213647e-01
2.818182e+01 1.200000e+01 2.203485e-01
2.818182e+01 1.300000e+01 2.221071e-01
2.818182e+01 1.400000e+01 2.259645e-01
2.818182e+01 1.500000e+01 2.305282e-01
2.818182e+01 1.600000e+01 2.364112e-01
2.818182e+01 1.700000e+01 2.417760e-01
2.818182e+01 1.800000e+01 2.513227e-01
2.818182e+01 1.900000e+01 2.664663e-01
2.818182e+01 2.000000e+01 2.842198e-01
3.120202e+01 0.000000e+00 1.395802e-01
3.120202e+01 1.000000e+00 1.420382e-01
3.120202e+01 2.000000e+00 1.463077e-01
3.120202e+01 3.000000e+00 1.568308e-01
3.120202e+01 4.000000e+00 1.688060e-01
3.120202e+01 5.000000e+00 1.872082e-01
3.120202e+01 6.000000e+00 2.263767e-01
3.120202e+01 7.000000e+00 2.669137e-01
3.120202e+01 8.000000e+00 2.668674e-01
3.120202e+01 9.000000e+00 2.458262e-01
3.120202e+01 1.000000e+01 2.325669e-01
3.120202e+01 1.100000e+01 2.266481e-01
3.120202e+01 1.200000e+01 2.256706e-01
3.120202e+01 1.300000e+01 2.276171e-01
3.120202e+01 1.400000e+01 2.318433e-01
3.120202e+01 1.500000e+01 2.367813e-01
3.120202e+01 1.600000e+01 2.433046e-01
3.120202e+01 1.700000e+01 2.494317e-01
3.120202e+01 1.800000e+01 2.601119e-01
3.120202e+01 1.900000e+01 2.755676e-01
3.120202e+01 2.000000e+01 2.923418e-01
3.422222e+01 0.000000e+00 1.501911e-01
3.422222e+01 1.000000e+00 1.528619e-01
3.422222e+01 2.000000e+00 1.574072e-01
3.422222e+01 3.000000e+00 1.682827e-01
3.422222e+01 4.000000e+00 1.805158e-01
3.422222e+01 5.000000e+00 1.991535e-01
3.422222e+01 6.000000e+00 2.385376e-01
3.422222e+01 7.000000e+00 2.779821e-01
3.422222e+01 8.000000e+00 2.749213e-01
3.422222e+01 9.000000e+00 2.519370e-01
3.422222e+01 1.000000e+01 2.378780e-01
3.422222e+01 1.100000e+01 2.316916e-01
3.422222e+01 1.200000e+01 2.307308e-01
3.422222e+01 1.300000e+01 2.328363e-01
3.422222e+01 1.400000e+01 2.373918e-01
3.422222e+01 1.500000e+01 2.426489e-01
3.422222e+01 1.600000e+01 2.497313e-01
3.422222e+01 1.700000e+01 2.565006e-01
3.422222e+01 1.800000e+01 2.681047e-01
3.422222e+01 1.900000e+01 2.835468e-01
3.422222e+01 2.000000e+01 2.990744e-01
3.724242e+01 0.000000e+00 1.614009e-01
3.724242e+01 1.000000e+00 1.642844e-01
3.724242e+01 2.000000e+00 1.691008e-01
3.724242e+01 3.000000e+00 1.802961e-01
3.724242e+01 4.000000e+00 1.927403e-01
3.724242e+01 5.000000e+00 2.115428e-01
3.724242e+01 6.000000e+00 2.509971e-01
3.724242e+01 7.000000e+00 2.890988e-01
3.724242e+01 8.000000e+00 2.828114e-01
3.724242e+01 9.000000e+00 2.578319e-01
3.724242e+01 1.000000e+01 2.429585e-01
3.724242e+01 1.100000e+01 2.364902e-01
3.724242e+01 1.200000e+01 2.355260e-01
3.724242e+01 1.300000e+01 2.377633e-01
3.724242e+01 1.400000e+01 2.426106e-01
3.724242e+01 1.500000e+01 2.481352e-01
3.724242e+01 1.600000e+01 2.556995e-01
